"","","South","South"
"Year","Time","pv","gas"
"2016",1.00,0.00,4877.40
"2016",2.00,0.00,4646.99
"2016",3.00,0.00,4360.35
"2016",4.00,0.00,4098.60
"2016",5.00,0.00,3836.85
"2016",6.00,0.00,3720.72
"2016",7.00,0.00,3643.30
"2016",8.00,60.27,3549.85
"2016",9.00,792.69,2731.72
"2016",10.00,2343.91,1083.73
"2016",11.00,3364.81,370.66
"2016",12.00,3779.80,297.60
"2016",13.00,3919.90,487.46
"2016",14.00,3863.96,587.63
"2016",15.00,3582.57,613.73
"2016",16.00,2749.75,1345.16
"2016",17.00,1187.53,2856.69
"2016",18.00,173.66,3983.93
"2016",19.00,4.75,5075.42
"2016",20.00,0.00,5368.64
"2016",21.00,0.00,5477.40
"2016",22.00,0.00,5529.93
"2016",23.00,0.00,5475.55
"2016",24.00,0.00,5224.86
"2016",25.00,0.00,4693.07
"2016",26.00,0.00,4303.21
"2016",27.00,0.00,3989.85
"2016",28.00,0.00,3811.97
"2016",29.00,0.00,3731.78
"2016",30.00,0.00,3714.27
"2016",31.00,0.00,3827.63
"2016",32.00,61.80,4081.04
"2016",33.00,798.52,3912.98
"2016",34.00,2351.60,3135.94
"2016",35.00,3363.09,2686.66
"2016",36.00,3768.12,2502.82
"2016",37.00,3907.13,2464.27
"2016",38.00,3870.26,2134.32
"2016",39.00,3601.35,2474.20
"2016",40.00,2798.08,3368.72
"2016",41.00,1259.78,4825.91
"2016",42.00,197.33,5993.43
"2016",43.00,5.24,6944.04
"2016",44.00,0.00,7248.82
"2016",45.00,0.00,7174.16
"2016",46.00,0.00,7003.66
"2016",47.00,0.00,6697.67
"2016",48.00,0.00,6387.99
"2016",49.00,0.00,5597.21
"2016",50.00,0.00,4916.11
"2016",51.00,0.00,4581.55
"2016",52.00,0.00,4384.31
"2016",53.00,0.00,4327.17
"2016",54.00,0.00,4314.27
"2016",55.00,0.00,4415.65
"2016",56.00,58.12,4740.02
"2016",57.00,782.57,4794.36
"2016",58.00,2324.75,4065.09
"2016",59.00,3345.73,3402.63
"2016",60.00,3753.84,3100.51
"2016",61.00,3895.25,2941.59
"2016",62.00,3854.60,2547.22
"2016",63.00,3594.89,2945.17
"2016",64.00,2813.47,3893.41
"2016",65.00,1299.12,5374.59
"2016",66.00,209.31,6518.78
"2016",67.00,5.89,7395.93
"2016",68.00,0.00,7603.66
"2016",69.00,0.00,7593.52
"2016",70.00,0.00,7383.38
"2016",71.00,0.00,7034.07
"2016",72.00,0.00,6634.07
"2016",73.00,0.00,5809.19
"2016",74.00,0.00,5179.70
"2016",75.00,0.00,4771.41
"2016",76.00,0.00,4573.25
"2016",77.00,0.00,4495.83
"2016",78.00,0.00,4422.10
"2016",79.00,0.00,4480.17
"2016",80.00,58.81,4891.40
"2016",81.00,778.68,4995.49
"2016",82.00,2305.40,4216.24
"2016",83.00,3330.62,3579.03
"2016",84.00,3739.14,3303.23
"2016",85.00,3890.61,3200.61
"2016",86.00,3862.43,2732.01
"2016",87.00,3608.11,3134.72
"2016",88.00,2826.70,3994.47
"2016",89.00,1310.30,5521.01
"2016",90.00,221.93,6740.25
"2016",91.00,6.76,7477.08
"2016",92.00,0.00,7653.43
"2016",93.00,0.00,7631.31
"2016",94.00,0.00,7429.46
"2016",95.00,0.00,7093.98
"2016",96.00,0.00,6722.55
"2016",97.00,0.00,5831.31
"2016",98.00,0.00,5235.92
"2016",99.00,0.00,4870.03
"2016",100.00,0.00,4644.22
"2016",101.00,0.00,4538.23
"2016",102.00,0.00,4461.73
"2016",103.00,0.00,4587.08
"2016",104.00,52.36,4919.97
"2016",105.00,720.63,5029.58
"2016",106.00,2236.63,4274.86
"2016",107.00,3284.70,3540.16
"2016",108.00,3729.97,3179.68
"2016",109.00,3857.35,3083.64
"2016",110.00,3815.37,2608.57
"2016",111.00,3548.93,2960.72
"2016",112.00,2777.37,3809.70
"2016",113.00,1296.84,5187.01
"2016",114.00,235.92,6214.74
"2016",115.00,7.47,7060.71
"2016",116.00,0.00,7293.98
"2016",117.00,0.00,7278.31
"2016",118.00,0.00,7022.09
"2016",119.00,0.00,6733.61
"2016",120.00,0.00,6457.12
"2016",121.00,0.00,5739.15
"2016",122.00,0.00,5235.92
"2016",123.00,0.00,4851.59
"2016",124.00,0.00,4611.96
"2016",125.00,0.00,4397.22
"2016",126.00,0.00,4285.70
"2016",127.00,0.00,4264.50
"2016",128.00,58.40,4361.86
"2016",129.00,784.09,3637.09
"2016",130.00,2292.39,2512.20
"2016",131.00,3320.38,1947.80
"2016",132.00,3740.09,1719.80
"2016",133.00,3898.76,1683.71
"2016",134.00,3857.18,1630.36
"2016",135.00,3590.65,1692.28
"2016",136.00,2810.56,2509.23
"2016",137.00,1315.02,3920.90
"2016",138.00,232.99,5096.94
"2016",139.00,6.95,6264.00
"2016",140.00,0.00,6619.33
"2016",141.00,0.00,6717.02
"2016",142.00,0.00,6514.26
"2016",143.00,0.00,6244.21
"2016",144.00,0.00,5938.23
"2016",145.00,0.00,5441.45
"2016",146.00,0.00,4899.52
"2016",147.00,0.00,4407.36
"2016",148.00,0.00,4168.65
"2016",149.00,0.00,4034.09
"2016",150.00,0.00,4006.44
"2016",151.00,0.00,3986.16
"2016",152.00,59.84,3983.46
"2016",153.00,771.94,3194.86
"2016",154.00,2290.70,1798.69
"2016",155.00,3310.08,1263.17
"2016",156.00,3732.78,1196.24
"2016",157.00,3876.23,1276.75
"2016",158.00,3848.52,1337.63
"2016",159.00,3578.30,1412.47
"2016",160.00,2803.43,2102.54
"2016",161.00,1280.45,3561.01
"2016",162.00,222.47,4706.54
"2016",163.00,7.34,5743.79
"2016",164.00,0.00,6156.66
"2016",165.00,0.00,6268.18
"2016",166.00,0.00,6319.79
"2016",167.00,0.00,6080.16
"2016",168.00,0.00,5655.28
"2016",169.00,0.00,5104.13
"2016",170.00,0.00,4576.02
"2016",171.00,0.00,4301.37
"2016",172.00,0.00,4121.64
"2016",173.00,0.00,4055.28
"2016",174.00,0.00,4014.73
"2016",175.00,0.00,4157.59
"2016",176.00,57.80,4591.03
"2016",177.00,797.45,4742.62
"2016",178.00,2337.01,4024.25
"2016",179.00,3366.58,3367.95
"2016",180.00,3763.50,3078.87
"2016",181.00,3903.51,3004.30
"2016",182.00,3847.37,2605.14
"2016",183.00,3592.76,3062.52
"2016",184.00,2821.96,4039.77
"2016",185.00,1318.77,5485.81
"2016",186.00,223.03,6588.01
"2016",187.00,7.77,7184.83
"2016",188.00,0.00,7354.81
"2016",189.00,0.00,7322.55
"2016",190.00,0.00,7034.07
"2016",191.00,0.00,6738.22
"2016",192.00,0.00,6379.70
"2016",193.00,0.00,5545.60
"2016",194.00,0.00,4999.98
"2016",195.00,0.00,4643.30
"2016",196.00,0.00,4471.87
"2016",197.00,0.00,4378.78
"2016",198.00,0.00,4336.39
"2016",199.00,0.00,4478.32
"2016",200.00,59.32,4769.23
"2016",201.00,771.26,4907.06
"2016",202.00,2333.80,4175.85
"2016",203.00,3372.86,3432.64
"2016",204.00,3786.07,3118.97
"2016",205.00,3929.36,3042.04
"2016",206.00,3878.57,2583.16
"2016",207.00,3621.67,3013.33
"2016",208.00,2850.37,3934.85
"2016",209.00,1322.58,5384.30
"2016",210.00,241.06,6510.06
"2016",211.00,8.50,7213.59
"2016",212.00,0.00,7462.64
"2016",213.00,0.00,7442.37
"2016",214.00,0.00,7211.03
"2016",215.00,0.00,6860.80
"2016",216.00,0.00,6461.73
"2016",217.00,0.00,5676.47
"2016",218.00,0.00,5080.16
"2016",219.00,0.00,4721.64
"2016",220.00,0.00,4490.30
"2016",221.00,0.00,4403.67
"2016",222.00,0.00,4439.61
"2016",223.00,0.00,4514.27
"2016",224.00,52.26,4833.43
"2016",225.00,714.65,5026.34
"2016",226.00,2176.36,4343.43
"2016",227.00,3189.90,3639.56
"2016",228.00,3546.06,3427.18
"2016",229.00,3636.92,3363.05
"2016",230.00,3531.38,2968.13
"2016",231.00,3169.76,3508.55
"2016",232.00,2352.26,4501.16
"2016",233.00,915.33,5885.56
"2016",234.00,136.76,6642.94
"2016",235.00,4.19,7218.82
"2016",236.00,0.00,7416.56
"2016",237.00,0.00,7409.19
"2016",238.00,0.00,7223.01
"2016",239.00,0.00,6898.59
"2016",240.00,0.00,6499.51
"2016",241.00,0.00,5639.61
"2016",242.00,0.00,5049.75
"2016",243.00,0.00,4694.91
"2016",244.00,0.00,4532.70
"2016",245.00,0.00,4415.65
"2016",246.00,0.00,4412.89
"2016",247.00,0.00,4513.35
"2016",248.00,46.06,4845.16
"2016",249.00,541.62,5165.27
"2016",250.00,1513.63,4947.17
"2016",251.00,2314.92,4470.30
"2016",252.00,2769.01,4121.28
"2016",253.00,2951.29,3950.98
"2016",254.00,2953.08,3397.12
"2016",255.00,2721.56,3777.96
"2016",256.00,2031.37,4571.36
"2016",257.00,915.28,5599.90
"2016",258.00,185.32,6366.73
"2016",259.00,9.40,7020.07
"2016",260.00,0.00,7321.63
"2016",261.00,0.00,7354.81
"2016",262.00,0.00,7100.43
"2016",263.00,0.00,6856.19
"2016",264.00,0.00,6481.08
"2016",265.00,0.00,5625.78
"2016",266.00,0.00,5044.22
"2016",267.00,0.00,4719.80
"2016",268.00,0.00,4552.06
"2016",269.00,0.00,4446.07
"2016",270.00,0.00,4412.89
"2016",271.00,0.00,4516.11
"2016",272.00,56.92,4844.45
"2016",273.00,766.12,4909.43
"2016",274.00,2240.10,4261.26
"2016",275.00,3265.09,3563.45
"2016",276.00,3737.52,3140.79
"2016",277.00,3897.92,2974.86
"2016",278.00,3823.30,2509.40
"2016",279.00,3502.12,2963.29
"2016",280.00,2794.83,3730.49
"2016",281.00,1434.89,5034.20
"2016",282.00,322.57,6101.37
"2016",283.00,13.50,6883.25
"2016",284.00,0.00,7278.31
"2016",285.00,0.00,7219.33
"2016",286.00,0.00,6956.65
"2016",287.00,0.00,6683.84
"2016",288.00,0.00,6361.26
"2016",289.00,0.00,5669.10
"2016",290.00,0.00,5129.01
"2016",291.00,0.00,4746.52
"2016",292.00,0.00,4474.64
"2016",293.00,0.00,4358.51
"2016",294.00,0.00,4274.64
"2016",295.00,0.00,4285.70
"2016",296.00,62.77,4363.94
"2016",297.00,859.41,3629.05
"2016",298.00,2483.11,2433.00
"2016",299.00,3476.74,1889.13
"2016",300.00,3862.05,1638.39
"2016",301.00,3949.90,1596.62
"2016",302.00,3910.07,1524.01
"2016",303.00,3657.13,1578.80
"2016",304.00,2971.32,2225.89
"2016",305.00,1547.33,3575.23
"2016",306.00,341.52,4870.44
"2016",307.00,13.97,6126.10
"2016",308.00,0.00,6563.11
"2016",309.00,0.00,6668.18
"2016",310.00,0.00,6532.69
"2016",311.00,0.00,6259.88
"2016",312.00,0.00,5945.60
"2016",313.00,0.00,5295.83
"2016",314.00,0.00,4802.75
"2016",315.00,0.00,4346.53
"2016",316.00,0.00,4108.74
"2016",317.00,0.00,4058.97
"2016",318.00,0.00,3996.30
"2016",319.00,0.00,4001.83
"2016",320.00,62.01,3892.81
"2016",321.00,801.28,3163.68
"2016",322.00,2286.55,1866.43
"2016",323.00,3255.92,1380.01
"2016",324.00,3681.65,1209.57
"2016",325.00,3784.91,1386.50
"2016",326.00,3745.02,1449.43
"2016",327.00,3511.96,1441.01
"2016",328.00,2877.75,2062.33
"2016",329.00,1562.08,3260.94
"2016",330.00,346.90,4631.88
"2016",331.00,14.59,5858.20
"2016",332.00,0.00,6265.41
"2016",333.00,0.00,6389.84
"2016",334.00,0.00,6404.58
"2016",335.00,0.00,6190.76
"2016",336.00,0.00,5779.70
"2016",337.00,0.00,5002.74
"2016",338.00,0.00,4573.25
"2016",339.00,0.00,4281.09
"2016",340.00,0.00,4150.21
"2016",341.00,0.00,4084.78
"2016",342.00,0.00,4115.19
"2016",343.00,0.00,4195.37
"2016",344.00,66.55,4655.09
"2016",345.00,888.34,4767.86
"2016",346.00,2535.72,3925.09
"2016",347.00,3530.27,3374.77
"2016",348.00,3911.15,3178.22
"2016",349.00,4033.57,3125.85
"2016",350.00,4008.85,2693.42
"2016",351.00,3789.83,3046.08
"2016",352.00,3139.95,3825.92
"2016",353.00,1655.53,5267.94
"2016",354.00,343.12,6610.77
"2016",355.00,14.51,7273.02
"2016",356.00,0.00,7563.10
"2016",357.00,0.00,7530.85
"2016",358.00,0.00,7323.47
"2016",359.00,0.00,6967.71
"2016",360.00,0.00,6542.83
"2016",361.00,0.00,5663.57
"2016",362.00,0.00,5065.42
"2016",363.00,0.00,4711.50
"2016",364.00,0.00,4530.86
"2016",365.00,0.00,4449.75
"2016",366.00,0.00,4417.49
"2016",367.00,0.00,4451.60
"2016",368.00,65.84,4766.40
"2016",369.00,862.26,4862.14
"2016",370.00,2481.03,4091.29
"2016",371.00,3489.05,3434.42
"2016",372.00,3892.33,3134.37
"2016",373.00,4023.00,3078.35
"2016",374.00,3982.38,2610.22
"2016",375.00,3746.16,3049.20
"2016",376.00,3070.20,3907.65
"2016",377.00,1588.66,5323.75
"2016",378.00,338.63,6596.83
"2016",379.00,15.21,7287.07
"2016",380.00,0.00,7586.14
"2016",381.00,0.00,7559.42
"2016",382.00,0.00,7293.98
"2016",383.00,0.00,6963.11
"2016",384.00,0.00,6515.18
"2016",385.00,0.00,5688.46
