"","","Mid","Mid","South","South","North","North"
"Year","Time","pv","gas","pv","gas","pv","gas"
"2016",1.00,0.00,43102.49,0.00,4877.40,0.00,11001.19
"2016",2.00,0.00,41692.00,0.00,4646.99,0.00,10769.37
"2016",3.00,0.00,40592.82,0.00,4360.35,0.00,10637.34
"2016",4.00,0.00,40218.10,0.00,4098.60,0.00,10584.82
"2016",5.00,0.00,39606.06,0.00,3836.85,0.00,10653.84
"2016",6.00,0.00,37483.60,0.00,3720.72,0.00,10987.69
"2016",7.00,0.00,37678.65,0.00,3643.30,0.00,11253.26
"2016",8.00,0.00,38082.19,60.27,3549.85,0.00,11371.05
"2016",9.00,235.25,39738.80,792.69,2731.72,0.00,11440.07
"2016",10.00,1324.34,41005.65,2343.91,1083.73,1.97,11774.20
"2016",11.00,1831.63,43548.00,3364.81,370.66,18.72,12114.55
"2016",12.00,2125.90,44266.45,3779.80,297.60,38.42,12333.42
"2016",13.00,2510.26,44088.67,3919.90,487.46,44.33,12482.80
"2016",14.00,1891.40,43911.01,3863.96,587.63,26.60,12696.34
"2016",15.00,895.45,44879.08,3582.57,613.73,0.99,13211.10
"2016",16.00,37.10,48060.70,2749.75,1345.16,0.00,13542.93
"2016",17.00,0.00,52560.83,1187.53,2856.69,0.00,13572.19
"2016",18.00,0.00,53885.80,173.66,3983.93,0.00,13437.15
"2016",19.00,0.00,53289.13,4.75,5075.42,0.00,13200.08
"2016",20.00,0.00,51142.65,0.00,5368.64,0.00,12928.50
"2016",21.00,0.00,50796.76,0.00,5477.40,0.00,12491.12
"2016",22.00,0.00,51205.10,0.00,5529.93,0.00,12084.51
"2016",23.00,0.00,47946.96,0.00,5475.55,0.00,11586.36
"2016",24.00,0.00,44986.66,0.00,5224.86,0.00,11222.51
"2016",25.00,0.00,42641.30,0.00,4693.07,0.00,11049.21
"2016",26.00,0.00,41620.90,0.00,4303.21,0.00,10956.18
"2016",27.00,0.00,41525.78,0.00,3989.85,0.00,10958.43
"2016",28.00,0.00,41841.89,0.00,3811.97,0.00,11154.24
"2016",29.00,0.00,43825.03,0.00,3731.78,0.00,11724.40
"2016",30.00,0.00,48708.89,0.00,3714.27,0.00,13035.78
"2016",31.00,0.00,54815.88,0.00,3827.63,0.00,14285.64
"2016",32.00,0.00,58782.15,61.80,4081.04,0.00,14849.06
"2016",33.00,1106.83,59730.52,798.52,3912.98,0.00,14930.08
"2016",34.00,2297.00,60296.73,2351.60,3135.94,52.21,15041.42
"2016",35.00,2763.72,61855.43,3363.09,2686.66,130.04,15072.37
"2016",36.00,2970.71,61872.30,3768.12,2502.82,171.42,14945.47
"2016",37.00,2347.97,61890.69,3907.13,2464.27,186.19,14907.44
"2016",38.00,1669.12,61981.52,3870.26,2134.32,105.41,15036.23
"2016",39.00,842.52,62262.36,3601.35,2474.20,7.88,15627.41
"2016",40.00,12.29,64593.40,2798.08,3368.72,0.00,15924.87
"2016",41.00,0.00,66920.31,1259.78,4825.91,0.00,15942.88
"2016",42.00,0.00,66566.73,197.33,5993.43,0.00,15703.56
"2016",43.00,0.00,64395.27,5.24,6944.04,0.00,15359.96
"2016",44.00,0.00,60880.59,0.00,7248.82,0.00,14834.80
"2016",45.00,0.00,59128.05,0.00,7174.16,0.00,14230.13
"2016",46.00,0.00,58004.84,0.00,7003.66,0.00,13585.69
"2016",47.00,0.00,53479.37,0.00,6697.67,0.00,12808.47
"2016",48.00,0.00,49534.23,0.00,6387.99,0.00,12219.55
"2016",49.00,0.00,47558.78,0.00,5597.21,0.00,11957.72
"2016",50.00,0.00,46482.66,0.00,4916.11,0.00,11926.21
"2016",51.00,0.00,46549.92,0.00,4581.55,0.00,11968.97
"2016",52.00,0.00,47392.56,0.00,4384.31,0.00,12152.78
"2016",53.00,0.00,49123.96,0.00,4327.17,0.00,12638.92
"2016",54.00,0.00,52818.33,0.00,4314.27,0.00,13928.54
"2016",55.00,0.00,58345.94,0.00,4415.65,0.00,15125.89
"2016",56.00,0.00,61551.24,58.12,4740.02,0.00,15522.00
"2016",57.00,580.65,62164.89,782.57,4794.36,0.00,15574.52
"2016",58.00,2137.20,61882.40,2324.75,4065.09,49.26,15619.79
"2016",59.00,3137.27,62271.67,3345.73,3402.63,90.63,15553.66
"2016",60.00,3517.55,61644.46,3753.84,3100.51,96.54,15411.20
"2016",61.00,4699.48,59852.41,3895.25,2941.59,75.86,15399.63
"2016",62.00,3424.87,60331.46,3854.60,2547.22,26.60,15576.43
"2016",63.00,1612.65,61535.47,3594.89,2945.17,0.99,16152.70
"2016",64.00,333.16,64581.92,2813.47,3893.41,0.00,16501.04
"2016",65.00,0.00,67994.51,1299.12,5374.59,0.00,16492.79
"2016",66.00,0.00,67590.01,209.31,6518.78,0.00,16190.45
"2016",67.00,0.00,65815.37,5.89,7395.93,0.00,15807.09
"2016",68.00,0.00,62664.83,0.00,7603.66,0.00,15248.17
"2016",69.00,0.00,60686.50,0.00,7593.52,0.00,14557.97
"2016",70.00,0.00,59676.68,0.00,7383.38,0.00,13774.00
"2016",71.00,0.00,55204.05,0.00,7034.07,0.00,12954.01
"2016",72.00,0.00,50770.81,0.00,6634.07,0.00,12353.08
