"","","Mid","Mid","Mid","Mid","South","South","South","South","North","North","North","North"
"Year","Time","pv","gas","pmp_hydro","pmp_hydro2","pv","gas","pmp_hydro","pmp_hydro2","pv","gas","pmp_hydro","pmp_hydro2"
"2016",1.00,0.00,43102.49,0.00,0.00,0.00,4877.40,0.00,0.00,0.00,11001.19,0.00,0.00
"2016",2.00,0.00,41692.00,0.00,0.00,0.00,4646.99,0.00,0.00,0.00,10769.37,0.00,0.00
"2016",3.00,0.00,40592.82,0.00,0.00,0.00,4360.35,0.00,0.00,0.00,10637.34,0.00,0.00
"2016",4.00,0.00,40218.10,0.00,0.00,0.00,4098.60,0.00,0.00,0.00,10584.82,0.00,0.00
"2016",5.00,0.00,39606.06,0.00,0.00,0.00,3836.85,0.00,0.00,0.00,10653.84,0.00,0.00
"2016",6.00,0.00,37483.60,0.00,0.00,0.00,3720.72,0.00,0.00,0.00,10987.69,0.00,0.00
"2016",7.00,0.00,37678.65,0.00,0.00,0.00,3643.30,0.00,0.00,0.00,11253.26,0.00,0.00
"2016",8.00,0.00,38082.19,0.00,0.00,60.27,3549.85,0.00,0.00,0.00,11371.05,0.00,0.00
"2016",9.00,235.25,39738.80,0.00,0.00,792.69,2731.72,0.00,0.00,0.00,11440.07,0.00,0.00
"2016",10.00,1324.34,41005.65,0.00,0.00,2343.91,1083.73,0.00,0.00,1.97,11774.20,0.00,0.00
"2016",11.00,1831.63,43548.00,0.00,0.00,3364.81,370.66,0.00,0.00,18.72,12114.55,0.00,0.00
"2016",12.00,2125.90,44266.45,0.00,0.00,3779.80,297.60,0.00,0.00,38.42,12333.42,0.00,0.00
"2016",13.00,2510.26,44088.67,0.00,0.00,3919.90,487.46,0.00,0.00,44.33,12482.80,0.00,0.00
"2016",14.00,1891.40,43911.01,0.00,0.00,3863.96,587.63,0.00,0.00,26.60,12696.34,0.00,0.00
"2016",15.00,895.45,44879.08,0.00,0.00,3582.57,613.73,0.00,0.00,0.99,13211.10,0.00,0.00
"2016",16.00,37.10,48060.70,0.00,0.00,2749.75,1345.16,0.00,0.00,0.00,13542.93,0.00,0.00
"2016",17.00,0.00,52560.83,0.00,0.00,1187.53,2856.69,0.00,0.00,0.00,13572.19,0.00,0.00
"2016",18.00,0.00,53885.80,0.00,0.00,173.66,3983.93,0.00,0.00,0.00,13437.15,0.00,0.00
"2016",19.00,0.00,53289.13,0.00,0.00,4.75,5075.42,0.00,0.00,0.00,13200.08,0.00,0.00
"2016",20.00,0.00,51142.65,0.00,0.00,0.00,5368.64,0.00,0.00,0.00,12928.50,0.00,0.00
"2016",21.00,0.00,50796.76,0.00,0.00,0.00,5477.40,0.00,0.00,0.00,12491.12,0.00,0.00
"2016",22.00,0.00,51205.10,0.00,0.00,0.00,5529.93,0.00,0.00,0.00,12084.51,0.00,0.00
"2016",23.00,0.00,47946.96,0.00,0.00,0.00,5475.55,0.00,0.00,0.00,11586.36,0.00,0.00
"2016",24.00,0.00,44986.66,0.00,0.00,0.00,5224.86,0.00,0.00,0.00,11222.51,0.00,0.00
"2016",25.00,0.00,42641.30,0.00,0.00,0.00,4693.07,0.00,0.00,0.00,11049.21,0.00,0.00
"2016",26.00,0.00,41620.90,0.00,0.00,0.00,4303.21,0.00,0.00,0.00,10956.18,0.00,0.00
"2016",27.00,0.00,41525.78,0.00,0.00,0.00,3989.85,0.00,0.00,0.00,10958.43,0.00,0.00
"2016",28.00,0.00,41841.89,0.00,0.00,0.00,3811.97,0.00,0.00,0.00,11154.24,0.00,0.00
"2016",29.00,0.00,43825.03,0.00,0.00,0.00,3731.78,0.00,0.00,0.00,11724.40,0.00,0.00
"2016",30.00,0.00,48708.89,0.00,0.00,0.00,3714.27,0.00,0.00,0.00,13035.78,0.00,0.00
"2016",31.00,0.00,54815.88,0.00,0.00,0.00,3827.63,0.00,0.00,0.00,14285.64,0.00,0.00
"2016",32.00,0.00,58782.15,0.00,0.00,61.80,4081.04,0.00,0.00,0.00,14849.06,0.00,0.00
"2016",33.00,1106.83,59730.52,0.00,0.00,798.52,3912.98,0.00,0.00,0.00,14930.08,0.00,0.00
"2016",34.00,2297.00,60296.73,0.00,0.00,2351.60,3135.94,0.00,0.00,52.21,15041.42,0.00,0.00
"2016",35.00,2763.72,61855.43,0.00,0.00,3363.09,2686.66,0.00,0.00,130.04,15072.37,0.00,0.00
"2016",36.00,2970.71,61872.30,0.00,0.00,3768.12,2502.82,0.00,0.00,171.42,14945.47,0.00,0.00
"2016",37.00,2347.97,61890.69,0.00,0.00,3907.13,2464.27,0.00,0.00,186.19,14907.44,0.00,0.00
"2016",38.00,1669.12,61981.52,0.00,0.00,3870.26,2134.32,0.00,0.00,105.41,15036.23,0.00,0.00
"2016",39.00,842.52,62262.36,0.00,0.00,3601.35,2474.20,0.00,0.00,7.88,15627.41,0.00,0.00
"2016",40.00,12.29,64593.40,0.00,0.00,2798.08,3368.72,0.00,0.00,0.00,15924.87,0.00,0.00
"2016",41.00,0.00,66920.31,0.00,0.00,1259.78,4825.91,0.00,0.00,0.00,15942.88,0.00,0.00
"2016",42.00,0.00,66566.73,0.00,0.00,197.33,5993.43,0.00,0.00,0.00,15703.56,0.00,0.00
"2016",43.00,0.00,64395.27,0.00,0.00,5.24,6944.04,0.00,0.00,0.00,15359.96,0.00,0.00
"2016",44.00,0.00,60880.59,0.00,0.00,0.00,7248.82,0.00,0.00,0.00,14834.80,0.00,0.00
"2016",45.00,0.00,59128.05,0.00,0.00,0.00,7174.16,0.00,0.00,0.00,14230.13,0.00,0.00
"2016",46.00,0.00,58004.84,0.00,0.00,0.00,7003.66,0.00,0.00,0.00,13585.69,0.00,0.00
"2016",47.00,0.00,53479.37,0.00,0.00,0.00,6697.67,0.00,0.00,0.00,12808.47,0.00,0.00
